FMTNAME,START,LABEL,city,state
I94PRTL,BOS,"BOSTON, MA",BOSTON, MA
I94PRTL,BQN,"BORINQUEN - AGUADILLO, PR",BORINQUEN - AGUADILLO, PR
I94PRTL,BRG,"BURLINGTON, VT",BURLINGTON, VT
I94PRTL,BRO,"BROWNSVILLE, TX",BROWNSVILLE, TX
I94PRTL,BRU,"BRUNSWICK, GA",BRUNSWICK, GA
I94PRTL,BTC,"BP TACTICAL UNIT, TX",BP TACTICAL UNIT, TX
I94PRTL,BTM,"BUTTE, MT",BUTTE, MT
I94PRTL,BTN,"BATON ROUGE, LA",BATON ROUGE, LA
I94PRTL,BUF,"BUFFALO, NY",BUFFALO, NY
I94PRTL,BUR,"BURBANK, CA",BURBANK, CA
I94PRTL,BUS,Collapsed (BUF) 06/15,,
I94PRTL,BWA,"BOUNDARY, WA",BOUNDARY, WA
I94PRTL,BWM,"BRIDGEWATER, ME",BRIDGEWATER, ME
I94PRTL,BYO,"BAYONNE, NJ",BAYONNE, NJ
I94PRTL,BZN,"GALLATIN FIELD - BOZEMAN, MT",GALLATIN FIELD - BOZEMAN, MT
I94PRTL,CAE,"COLUMBIA, SC #ARPT",COLUMBIA, SC #ARPT
I94PRTL,CAK,"AKRON, OH",AKRON, OH
I94PRTL,CAL,"CALEXICO, CA",CALEXICO, CA
I94PRTL,CAN,"CAPE CANAVERAL, FL",CAPE CANAVERAL, FL
I94PRTL,CAO,"CAMPO, CA",CAMPO, CA
I94PRTL,CAP,"CAPE VINCENT, NY",CAPE VINCENT, NY
I94PRTL,CAR,"CARIBOU MUNICIPAL AIRPORT, MN",CARIBOU MUNICIPAL AIRPORT, MN
I94PRTL,CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",CRANE LAKE - ST. LOUIS CNTY, NM
I94PRTL,CHA,"CHARLOTTE AMALIE, VI",CHARLOTTE AMALIE, VI
I94PRTL,CHF,"CHIEF MT, MT",CHIEF MT, MT
I94PRTL,CHI,"CHICAGO, IL",CHICAGO, IL
I94PRTL,CHL,"CHARLESTON, SC",CHARLESTON, SC
I94PRTL,CHM,"CHAMPLAIN, NY",CHAMPLAIN, NY
I94PRTL,CHN,No PORT Code (CHN),,
I94PRTL,CHO,"ALBEMARLE CHARLOTTESVILLE, VA",ALBEMARLE CHARLOTTESVILLE, VA
I94PRTL,CHR,"CHRISTIANSTED, VI",CHRISTIANSTED, VI
I94PRTL,CHS,"CHARLESTON, WV",CHARLESTON, WV
I94PRTL,CHT,"CHATEAUGAY, NY",CHATEAUGAY, NY
I94PRTL,CID,"CEDAR RAPIDS/IOWA CITY, IA",CEDAR RAPIDS/IOWA CITY, IA
I94PRTL,CIN,"CINCINNATI, OH",CINCINNATI, OH
I94PRTL,CLA,"CLAYTON, NY",CLAYTON, NY
I94PRTL,CLE,"CLEVELAND, OH",CLEVELAND, OH
I94PRTL,CLG,"CALGARY, CANADA",CALGARY, CANADA
I94PRTL,CLK,"CLARKSBURG, WV",CLARKSBURG, WV
I94PRTL,CLM,"COLUMBUS, OH",COLUMBUS, OH
I94PRTL,CLS,"CALAIS, ME",CALAIS, ME
I94PRTL,CLT,"CHARLOTTE, NC",CHARLOTTE, NC
I94PRTL,CLX,No PORT Code (CLX),,
I94PRTL,CNA,"CANAAN, VT",CANAAN, VT
I94PRTL,CNC,"CANNON CORNERS, NY",CANNON CORNERS, NY
I94PRTL,CND,"KOGALNICEANU, ROMANIA",KOGALNICEANU, ROMANIA
