FMTNAME,START,LABEL,city,state
I94PRTL,MIC,"CRYSTAL MUNICIPAL AIRPORT, MN",CRYSTAL MUNICIPAL AIRPORT, MN
I94PRTL,MIL,"MILWAUKEE, WI",MILWAUKEE, WI
I94PRTL,MKG,"MUSKEGON, MD",MUSKEGON, MD
I94PRTL,MLB,"MELBOURNE, FL",MELBOURNE, FL
I94PRTL,MLI,"MOLINE, IL",MOLINE, IL
I94PRTL,MLU,"MONROE, LA",MONROE, LA
I94PRTL,MMU,"MORRISTOWN, NJ",MORRISTOWN, NJ
I94PRTL,MND,"MINOT, ND",MINOT, ND
I94PRTL,MNW,"MANITOWOC, WI",MANITOWOC, WI
I94PRTL,MOB,"MOBILE, AL",MOBILE, AL
I94PRTL,MON,"MONTREAL, CANADA",MONTREAL, CANADA
I94PRTL,MOO,"MOORES, NY",MOORES, NY
I94PRTL,MOR,"MORSES LINE, VT",MORSES LINE, VT
I94PRTL,MOS,"MOSES POINT INTERMEDIATE, AK",MOSES POINT INTERMEDIATE, AK
I94PRTL,MRC,"MARINE CITY, MI",MARINE CITY, MI
I94PRTL,MRH,"MOREHEAD CITY, NC",MOREHEAD CITY, NC
I94PRTL,MRL,"MERRILLVILLE, IN",MERRILLVILLE, IN
I94PRTL,MRR,"MORRISTOWN, NY",MORRISTOWN, NY
I94PRTL,MRS,"MARFA, TX (BPS)",MARFA, TX (BPS)
I94PRTL,MRY,"MARYSVILLE, MI",MARYSVILLE, MI
I94PRTL,MSN,"TRUAX FIELD - DANE COUNTY, WI",TRUAX FIELD - DANE COUNTY, WI
I94PRTL,MSP,"MINN./ST PAUL, MN",MINN./ST PAUL, MN
I94PRTL,MTH,No PORT Code (MTH),,
I94PRTL,MTY,"GEN M. ESCOBEDO, Monterrey, MX",GEN M. ESCOBEDO, Monterrey
I94PRTL,MVD,"CARRASCO, URUGUAY",CARRASCO, URUGUAY
I94PRTL,MWH,"MOSES LAKE GRANT COUNTY ARPT, WA",MOSES LAKE GRANT COUNTY ARPT, WA
I94PRTL,MYR,"MYRTLE BEACH, SC",MYRTLE BEACH, SC
I94PRTL,NAC,"NACO, AZ",NACO, AZ
I94PRTL,NAS,"NASSAU, BAHAMAS",NASSAU, BAHAMAS
I94PRTL,NBO,"NAIROBI, KENYA",NAIROBI, KENYA
I94PRTL,NC8,No PORT Code (NC8),,
I94PRTL,NCA,"NORTH CAICOS, TURK & CAIMAN",NORTH CAICOS, TURK & CAIMAN
I94PRTL,NEA,"NEAH BAY, WA",NEAH BAY, WA
I94PRTL,NEC,"NECHE, ND",NECHE, ND
I94PRTL,NEW,"NEWARK/TETERBORO, NJ",NEWARK/TETERBORO, NJ
I94PRTL,NGL,No PORT Code (NGL),,
I94PRTL,NIA,"NIAGARA FALLS, NY",NIAGARA FALLS, NY
I94PRTL,NIG,"NIGHTHAWK, WA",NIGHTHAWK, WA
I94PRTL,NIK,"NIKISKI, AK",NIKISKI, AK
I94PRTL,NK,No PORT Code (NK),,
I94PRTL,NOG,"NOGALES, AZ",NOGALES, AZ
I94PRTL,NOL,"NEW ORLEANS, LA",NEW ORLEANS, LA
I94PRTL,NOM,"NOM, AK",NOM, AK
I94PRTL,NOO,"NOONAN, ND",NOONAN, ND
I94PRTL,NOR,"NORFOLK, VA",NORFOLK, VA
I94PRTL,NOY,"NOYES, MN",NOYES, MN
I94PRTL,NPT,"NEWPORT, OR",NEWPORT, OR
I94PRTL,NPV,"NEWPORT, VT",NEWPORT, VT
I94PRTL,NRG,"NORTHGATE, ND",NORTHGATE, ND
I94PRTL,NRN,"NORTON, VT",NORTON, VT
I94PRTL,NRT,"NORTH TROY, VT",NORTH TROY, VT
I94PRTL,NSV,"NASHVILLE, TN",NASHVILLE, TN
I94PRTL,NWH,"NEW HAVEN, CT",NEW HAVEN, CT
I94PRTL,NWL,"NEW LONDON, CT",NEW LONDON, CT
I94PRTL,NWN,"NEWPORT, VA",NEWPORT, VA
I94PRTL,NYC,"NEW YORK, NY",NEW YORK, NY
I94PRTL,NYL,No PORT Code (NYL),,
I94PRTL,OAI,No PORT Code (OAI),,
I94PRTL,OAK,"OAKLAND, CA",OAKLAND, CA
I94PRTL,OGD,"OGDENSBURG, NY",OGDENSBURG, NY
I94PRTL,OGG,"KAHULUI - MAUI, HI",KAHULUI - MAUI, HI
I94PRTL,OGS,No PORT Code (OGS),,
I94PRTL,OKC,"OKLAHOMA CITY, OK",OKLAHOMA CITY, OK
I94PRTL,OLM,No PORT Code (OLM),,
I94PRTL,OLY,"OLYMPIA, WA",OLYMPIA, WA
I94PRTL,OMA,"OMAHA, NE",OMAHA, NE
I94PRTL,ONT,"ONTARIO, CA",ONTARIO, CA
I94PRTL,OPF,"OPA LOCKA, FL",OPA LOCKA, FL
I94PRTL,OPH,"OPHEIM, MT",OPHEIM, MT
I94PRTL,ORI,"PORT LIONS SPB, AK",PORT LIONS SPB, AK
I94PRTL,ORL,"ORLANDO, FL",ORLANDO, FL
I94PRTL,ORO,"OROVILLE, WA",OROVILLE, WA
I94PRTL,OSN,No PORT Code (OSN),,
I94PRTL,OSW,"OSWEGO, NY",OSWEGO, NY
I94PRTL,OTM,"OTAY MESA, CA",OTAY MESA, CA
I94PRTL,OTS,No PORT Code (OTS),,
I94PRTL,OTT,"OTTAWA, CANADA",OTTAWA, CANADA
I94PRTL,PAN,"PANAMA CITY, FL",PANAMA CITY, FL
I94PRTL,PAR,"PORT ARTHUR, TX",PORT ARTHUR, TX
I94PRTL,PAS,"PASCAGOULA, MS",PASCAGOULA, MS
I94PRTL,PAX,"PATUXENT RIVER, MD",PATUXENT RIVER, MD
I94PRTL,PBB,"PEACE BRIDGE, NY",PEACE BRIDGE, NY
I94PRTL,PCF,"PORT CANAVERAL, FL",PORT CANAVERAL, FL
I94PRTL,PCW,No PORT Code (PCW),,
I94PRTL,PDN,"PASO DEL NORTE,TX",PASO DEL NORTE,TX
I94PRTL,PEK,"BEIJING CAPITAL INTL, PRC",BEIJING CAPITAL INTL, PRC
I94PRTL,PEM,"PEMBINA, ND",PEMBINA, ND
I94PRTL,PEN,"PENSACOLA, FL",PENSACOLA, FL
I94PRTL,PER,"PERTH AMBOY, NJ",PERTH AMBOY, NJ
I94PRTL,PEV,"PORT EVERGLADES, FL",PORT EVERGLADES, FL
I94PRTL,PFN,No PORT Code (PFN),,
I94PRTL,PGR,"PROGRESO, TX",PROGRESO, TX
I94PRTL,PHF,No PORT Code (PHF),,
I94PRTL,PHI,"PHILADELPHIA, PA",PHILADELPHIA, PA
I94PRTL,PHN,Collapsed (PHU) 06/15,,
I94PRTL,PHO,"PHOENIX, AZ",PHOENIX, AZ
I94PRTL,PHR,"PHARR, TX",PHARR, TX
I94PRTL,PHU,"PORT HURON, MI",PORT HURON, MI
I94PRTL,PIA,"GREATER PEORIA, IL",GREATER PEORIA, IL
I94PRTL,PIE,"PIEGAN, MT",PIEGAN, MT
I94PRTL,PIN,"PINE CREEK, MN",PINE CREEK, MN
I94PRTL,PIR,"POINT ROBERTS, WA",POINT ROBERTS, WA
I94PRTL,PIT,"PITTSBURG, PA",PITTSBURG, PA
I94PRTL,PIV,"PINNACLE ROAD, VT",PINNACLE ROAD, VT
I94PRTL,PIZ,"DEW STATION PT LAY DEW, AK",DEW STATION PT LAY DEW, AK
I94PRTL,PKC,"POKER CREEK, AK",POKER CREEK, AK
I94PRTL,PLB,No PORT Code (PLB),,
I94PRTL,PNG,"PORT ANGELES, WA",PORT ANGELES, WA
I94PRTL,PNH,"PITTSBURG, NH",PITTSBURG, NH
I94PRTL,POE,"PORT OF EL PASO, TX",PORT OF EL PASO, TX
I94PRTL,POM,"PORTLAND, ME",PORTLAND, ME
I94PRTL,PON,"PONCE, PR",PONCE, PR
I94PRTL,POO,"PORTLAND, OR",PORTLAND, OR
I94PRTL,POR,"PORTAL, AZ",PORTAL, AZ
I94PRTL,PRE,"PRESIDIO, TX",PRESIDIO, TX
I94PRTL,PRO,"PROVIDENCE, RI",PROVIDENCE, RI
I94PRTL,PSC,"TRI-CITIES - PASCO, WA",TRI-CITIES - PASCO, WA
I94PRTL,PSE,"PONCE-MERCEDITA, PR",PONCE-MERCEDITA, PR
I94PRTL,PSJ,"PORT ST JOE, FL",PORT ST JOE, FL
I94PRTL,PSM,"PORTSMOUTH, NH",PORTSMOUTH, NH
I94PRTL,PSP,"PALM SPRINGS, CA",PALM SPRINGS, CA
I94PRTL,PTK,"OAKLAND COUNTY - PONTIAC, MI",OAKLAND COUNTY - PONTIAC, MI
I94PRTL,PTL,"PORTHILL, ID",PORTHILL, ID
I94PRTL,PTO,"PORT TOWNSEND, WA",PORT TOWNSEND, WA
I94PRTL,PTY,"OMAR TORRIJOS, PANAMA",OMAR TORRIJOS, PANAMA
I94PRTL,PUT,"PUT-IN-BAY, OH",PUT-IN-BAY, OH
I94PRTL,PVD,"THEODORE FRANCIS - WARWICK, RI",THEODORE FRANCIS - WARWICK, RI
I94PRTL,PWB,"PASCO, WA",PASCO, WA
I94PRTL,RAN,"RAINER, MN",RAINER, MN
I94PRTL,RAY,"RAYMOND, MT",RAYMOND, MT
I94PRTL,RBT,"ROBERTS LANDING, MI",ROBERTS LANDING, MI
I94PRTL,RCM,"RICHMOND, VA",RICHMOND, VA
I94PRTL,RDM,"ROBERTS FIELDS - REDMOND, OR",ROBERTS FIELDS - REDMOND, OR
I94PRTL,RDU,"RALEIGH/DURHAM, NC",RALEIGH/DURHAM, NC
I94PRTL,REN,"RENO, NV",RENO, NV
I94PRTL,RFD,"GREATER ROCKFORD, IL",GREATER ROCKFORD, IL
I94PRTL,RGM,"RANGELEY, ME (BPS)",RANGELEY, ME (BPS)
I94PRTL,RIF,"RICHFORT, VT",RICHFORT, VT
I94PRTL,RIO,"RIO GRANDE CITY, TX",RIO GRANDE CITY, TX
I94PRTL,RIT,"ROME, ITALY",ROME, ITALY
I94PRTL,RIV,"RIVERSIDE, CA",RIVERSIDE, CA
I94PRTL,RME,"ROME, NY",ROME, NY
I94PRTL,RNO,"CANNON INTL - RENO/TAHOE, NV",CANNON INTL - RENO/TAHOE, NV
I94PRTL,ROC,"ROCHESTER, NY",ROCHESTER, NY
I94PRTL,ROG,"ROGERS ARPT, AR",ROGERS ARPT, AR
I94PRTL,ROM,"ROMA, TX",ROMA, TX
I94PRTL,ROO,"ROOSVILLE, MT",ROOSVILLE, MT
I94PRTL,ROS,"ROSEAU, MN",ROSEAU, MN
I94PRTL,ROU,"ROUSES POINT, NY",ROUSES POINT, NY
I94PRTL,RST,"ROCHESTER, MN",ROCHESTER, MN
I94PRTL,RUI,"RUIDOSO, NM",RUIDOSO, NM
I94PRTL,RYY,No PORT Code (RYY),,
I94PRTL,SAA,"SANTA ANA, CA",SANTA ANA, CA
I94PRTL,SAC,"SACRAMENTO, CA",SACRAMENTO, CA
I94PRTL,SAG,"SAGINAW, MI",SAGINAW, MI
I94PRTL,SAI,"SAIPAN, SPN",SAIPAN, SPN
I94PRTL,SAJ,"SAN JUAN, PR",SAN JUAN, PR
I94PRTL,SAN,"SAN SALVADOR, EL SALVADOR",SAN SALVADOR, EL SALVADOR
I94PRTL,SAR,"SARLES, ND",SARLES, ND
I94PRTL,SAS,"SASABE, AZ",SASABE, AZ
I94PRTL,SAU,"ST AUGUSTINE, FL",ST AUGUSTINE, FL
I94PRTL,SAV,"SAVANNAH, GA",SAVANNAH, GA
I94PRTL,SBN,"SOUTH BEND, IN",SOUTH BEND, IN
I94PRTL,SBR,"SOUTH BREWER, ME",SOUTH BREWER, ME
I94PRTL,SCC,"BP SPEC COORD. CTR, TX",BP SPEC COORD. CTR, TX
I94PRTL,SCH,No PORT Code (SCH),,
I94PRTL,SCL,"ST CLAIR, MI",ST CLAIR, MI
I94PRTL,SCO,"SCOBEY, MT",SCOBEY, MT
I94PRTL,SDP,"SAN DIEGO, CA",SAN DIEGO, CA
I94PRTL,SDY,"SANDUSKY, OH",SANDUSKY, OH
I94PRTL,SEA,"SEATTLE, WA",SEATTLE, WA
I94PRTL,SFB,"SANFORD, FL",SANFORD, FL
I94PRTL,SFR,"SAN FRANCISCO, CA",SAN FRANCISCO, CA
I94PRTL,SGF,"SPRINGFIELD-BRANSON, MO",SPRINGFIELD-BRANSON, MO
I94PRTL,SGJ,"ST AUGUSTINE ARPT, FL",ST AUGUSTINE ARPT, FL
I94PRTL,SGR,"HULL FIELD, SUGAR LAND ARPT, TX",HULL FIELD, SUGAR LAND ARPT
I94PRTL,SHA,"SHANNON, IRELAND",SHANNON, IRELAND
I94PRTL,SHR,"SHERWOOD, ND",SHERWOOD, ND
I94PRTL,SJO,"ST JOHN, ND",ST JOHN, ND
I94PRTL,SKA,"SKAGWAY, AK",SKAGWAY, AK
I94PRTL,SLC,"SALT LAKE CITY, UT",SALT LAKE CITY, UT
I94PRTL,SLI,"SAN LUIS OBISPO, CA (BPS)",SAN LUIS OBISPO, CA (BPS)
I94PRTL,SLO,"SAN LUIS OBISPO, CA",SAN LUIS OBISPO, CA
I94PRTL,SLP,"SAN LUIS POTOSI #ARPT, MEXICO",SAN LUIS POTOSI #ARPT, MEXICO
I94PRTL,SLS,"SALINAS, CA (BPS)",SALINAS, CA (BPS)
I94PRTL,SLU,"SAN LUIS, AZ",SAN LUIS, AZ
I94PRTL,SNA,"SAN ANTONIO, TX",SAN ANTONIO, TX
I94PRTL,SNJ,"SAN JOSE, CA",SAN JOSE, CA
I94PRTL,SNN,"SANDERSON, TX",SANDERSON, TX
I94PRTL,SNO,"SAKON NAKHON #ARPT, THAILAND",SAKON NAKHON #ARPT, THAILAND
I94PRTL,SNP,"ST. PAUL ISLAND, AK",ST. PAUL ISLAND, AK
I94PRTL,SP0,No PORT Code (SP0),,
I94PRTL,SPA,"ST PAMPILE, ME",ST PAMPILE, ME
I94PRTL,SPC,"SAN PEDRO, CA",SAN PEDRO, CA
I94PRTL,SPE,"ST PETERSBURG, FL",ST PETERSBURG, FL
I94PRTL,SPF,"BLACK HILLS, SPEARFISH, SD",BLACK HILLS, SPEARFISH
I94PRTL,SPI,"CAPITAL - SPRINGFIELD, IL",CAPITAL - SPRINGFIELD, IL
I94PRTL,SPM,"ST PAUL, MN",ST PAUL, MN
I94PRTL,SPO,"SPOKANE, WA",SPOKANE, WA
I94PRTL,SPV,"PAPUA, NEW GUINEA",PAPUA, NEW GUINEA
I94PRTL,SRL,"ST AURELIE, ME",ST AURELIE, ME
I94PRTL,SRO,"SANTANA RAMOS #ARPT, COLOMBIA",SANTANA RAMOS #ARPT, COLOMBIA
I94PRTL,SRQ,"BRADENTON - SARASOTA, FL",BRADENTON - SARASOTA, FL
I94PRTL,SSC,"SHAW AFB - SUMTER, NC",SHAW AFB - SUMTER, NC
I94PRTL,SSM,"SAULT STE. MARIE, MI",SAULT STE. MARIE, MI
I94PRTL,STA,"ST ALBANS, VT",ST ALBANS, VT
I94PRTL,STL,"ST LOUIS, MO",ST LOUIS, MO
I94PRTL,STN,Collapsed (STR) 06/15,,
I94PRTL,STO,"STOCKTON, CA (BPS)",STOCKTON, CA (BPS)
I94PRTL,STR,"SANTA TERESA, NM",SANTA TERESA, NM
I94PRTL,STT,"ST THOMAS, VI",ST THOMAS, VI
I94PRTL,SUM,"SUMAS, WA",SUMAS, WA
I94PRTL,SUS,No PORT Code (SUS),,
I94PRTL,SVC,"GRANT COUNTY - SILVER CITY, MN",GRANT COUNTY - SILVER CITY, MN
I94PRTL,SWB,"SWANTON, VT (BP - SECTOR HQ)",SWANTON, VT (BP - SECTOR HQ)
I94PRTL,SWE,"SWEETGTASS, MT",SWEETGTASS, MT
I94PRTL,SWF,"STEWART - ORANGE CNTY, NY",STEWART - ORANGE CNTY, NY
I94PRTL,SYR,"SYRACUSE, NY",SYRACUSE, NY
I94PRTL,SYS,"SAN YSIDRO, CA",SAN YSIDRO, CA
I94PRTL,T01,Collapsed (SEA) 06/15,,
I94PRTL,TAC,"TACOMA, WA",TACOMA, WA
I94PRTL,TAM,"TAMPA, FL",TAMPA, FL
I94PRTL,TEC,"TECATE, CA",TECATE, CA
I94PRTL,THO,"THOUSAND ISLAND BRIDGE, NY",THOUSAND ISLAND BRIDGE, NY
I94PRTL,TIW,No PORT Code (TIW),,
I94PRTL,TKI,"TOKEEN, AK",TOKEEN, AK
I94PRTL,TOK,"TOROKINA #ARPT, PAPUA, NEW GUINEA",TOROKINA #ARPT, PAPUA
I94PRTL,TOL,"TOLEDO, OH",TOLEDO, OH
I94PRTL,TOR,"TORONTO, CANADA",TORONTO, CANADA
I94PRTL,TRI,"TRI CITY ARPT, TN",TRI CITY ARPT, TN
I94PRTL,TRL,"TRIAL CREEK, MT",TRIAL CREEK, MT
I94PRTL,TRO,"TROUT RIVER, NY",TROUT RIVER, NY
I94PRTL,TRV,"TRAVIS-AFB, CA",TRAVIS-AFB, CA
I94PRTL,TST,"NEWINGTON DATA CENTER TEST, CT",NEWINGTON DATA CENTER TEST, CT
I94PRTL,TUC,"TUCSON, AZ",TUCSON, AZ
I94PRTL,TUL,"TULSA, OK",TULSA, OK
I94PRTL,TUR,"TURNER, MT",TURNER, MT
I94PRTL,TYS,"MC GHEE TYSON - ALCOA, TN",MC GHEE TYSON - ALCOA, TN
I94PRTL,UGN,"MEMORIAL - WAUKEGAN, IL",MEMORIAL - WAUKEGAN, IL
I94PRTL,UIO,"QUITO (MARISCAL SUCR), ECUADOR",QUITO (MARISCAL SUCR), ECUADOR
I94PRTL,UNK,UNKNOWN POE,,
I94PRTL,VAN,"VANCOUVER, WA",VANCOUVER, WA
I94PRTL,VCB,"VANCEBORO, ME",VANCEBORO, ME
I94PRTL,VCV,"VANCOUVER, CANADA",VANCOUVER, CANADA
I94PRTL,VER,"VERACRUZ, MEXICO",VERACRUZ, MEXICO
I94PRTL,VIB,"VETERAN INTL BRIDGE, TX",VETERAN INTL BRIDGE, TX
I94PRTL,VIC,"VICTORIA, CANADA",VICTORIA, CANADA
I94PRTL,VMB,Collapsed (VNB) 06/15,,
I94PRTL,VNB,"VAN BUREN, ME",VAN BUREN, ME
I94PRTL,VNY,"VAN NUYS, CA",VAN NUYS, CA
I94PRTL,VQS,"VIEQUES-ARPT, PR",VIEQUES-ARPT, PR
I94PRTL,W55,No PORT Code (W55),,
I94PRTL,WA5,No PORT Code (WAS),,
I94PRTL,WAL,"WALHALLA, ND",WALHALLA, ND
I94PRTL,WAR,"WARROAD, MN",WARROAD, MN
I94PRTL,WAS,WASHINGTON DC,,
I94PRTL,WAT,"WATERTOWN, NY",WATERTOWN, NY
I94PRTL,WBE,"WEST BERKSHIRE, VT",WEST BERKSHIRE, VT
I94PRTL,WCM,"WILLOW CREEK, MT",WILLOW CREEK, MT
I94PRTL,WHI,"WHITETAIL, MT",WHITETAIL, MT
I94PRTL,WHM,"WILD HORSE, MT",WILD HORSE, MT
I94PRTL,WHO,"WESTHOPE, ND",WESTHOPE, ND
I94PRTL,WIL,"WILMINGTON, NC",WILMINGTON, NC
I94PRTL,WIN,"WINNIPEG, CANADA",WINNIPEG, CANADA
I94PRTL,WLL,"WILMINGTON, DE",WILMINGTON, DE
I94PRTL,WND,"WILLISTON, ND",WILLISTON, ND
I94PRTL,WPB,"WEST PALM BEACH, FL",WEST PALM BEACH, FL
I94PRTL,WRA,"WRANGELL, AK",WRANGELL, AK
I94PRTL,WRB,"WHIRLPOOL BRIDGE, NY",WHIRLPOOL BRIDGE, NY
I94PRTL,WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",MC GUIRE AFB - WRIGHTSOWN, NJ
I94PRTL,WSB,"WARROAD INTL, SPB, MN",WARROAD INTL, SPB
I94PRTL,WTR,No PORT Code (WTR),,
I94PRTL,X44,No PORT Code (X44),,
I94PRTL,X96,No PORT Code (X96),,
I94PRTL,XNA,No PORT Code (XNA),,
I94PRTL,XXX,NOT REPORTED/UNKNOWN,,
I94PRTL,Y62,No PORT Code (Y62),,
I94PRTL,YGF,No PORT Code (YGF),,
I94PRTL,YHC,"HAKAI PASS, CANADA",HAKAI PASS, CANADA
I94PRTL,YIP,"WILLOW RUN - YPSILANTI, MI",WILLOW RUN - YPSILANTI, MI
I94PRTL,YOU,"YOUNGSTOWN, NY",YOUNGSTOWN, NY
I94PRTL,YSL,"YSLETA, TX",YSLETA, TX
I94PRTL,YUI,"YUMA, AZ",YUMA, AZ
I94PRTL,YUM,"YUMA, AZ",YUMA, AZ
I94PRTL,YXE,"SASKATOON, CANADA",SASKATOON, CANADA
I94PRTL,ZZZ,MEXICO Land (Banco de Mexico),,
