FMTNAME,START,LABEL
I94CNTYL,404,INVALID: GUAM
I94CNTYL,407,INVALID: UNITED STATES
I94CNTYL,409,NEW CALEDONIA
I94CNTYL,410,VANUATU
I94CNTYL,411,FRENCH POLYNESIA
I94CNTYL,412,SOLOMON ISLANDS
I94CNTYL,413,FIJI
I94CNTYL,414,KIRIBATI
I94CNTYL,416,PITCAIRN ISLANDS
I94CNTYL,417,TONGA
I94CNTYL,420,TUVALU
I94CNTYL,438,AUSTRALIA
I94CNTYL,440,NAURU
I94CNTYL,441,PAPUA NEW GUINEA
I94CNTYL,464,NEW ZEALAND
I94CNTYL,465,WESTERN SAMOA
I94CNTYL,467,COOK ISLANDS
I94CNTYL,469,WALLIS AND FUTUNA ISLANDS
I94CNTYL,470,NIUE
I94CNTYL,471,"INVALID: MARIANA ISLANDS, NORTHERN"
I94CNTYL,472,MARSHALL ISLANDS
I94CNTYL,473,"MICRONESIA, FED. STATES OF"
I94CNTYL,474,PALAU
I94CNTYL,485,No Country Code (485)
I94CNTYL,501,INVALID: GREENLAND
I94CNTYL,502,ST. PIERRE AND MIQUELON
I94CNTYL,503,No Country Code (503)
I94CNTYL,504,PANAMA
I94CNTYL,505,INVALID: PUERTO RICO
I94CNTYL,506,INVALID: U.S. VIRGIN ISLANDS
I94CNTYL,507,GUADELOUPE
I94CNTYL,508,NETHERLANDS ANTILLES
I94CNTYL,509,BERMUDA
I94CNTYL,511,MARTINIQUE
I94CNTYL,512,BAHAMAS
I94CNTYL,513,BARBADOS
I94CNTYL,514,JAMAICA
I94CNTYL,516,TRINIDAD AND TOBAGO
I94CNTYL,518,ANTIGUA-BARBUDA
I94CNTYL,519,DOMINICA
I94CNTYL,520,GRENADA
I94CNTYL,521,MONTSERRAT
I94CNTYL,522,ST. KITTS-NEVIS
I94CNTYL,523,ST. LUCIA
I94CNTYL,524,ST. VINCENT-GRENADINES
I94CNTYL,525,BRITISH VIRGIN ISLANDS
I94CNTYL,526,CAYMAN ISLANDS
I94CNTYL,527,TURKS AND CAICOS ISLANDS
I94CNTYL,528,HONDURAS
I94CNTYL,529,ANGUILLA
I94CNTYL,532,ARUBA
I94CNTYL,574,INVALID: CANADA
I94CNTYL,575,COSTA RICA
I94CNTYL,576,EL SALVADOR
I94CNTYL,577,GUATEMALA
I94CNTYL,579,NICARAGUA
I94CNTYL,581,BELIZE
I94CNTYL,582,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)"
I94CNTYL,583,INVALID: UNITED STATES
I94CNTYL,584,CUBA
I94CNTYL,585,DOMINICAN REPUBLIC
I94CNTYL,586,HAITI
I94CNTYL,589,No Country Code (589)
I94CNTYL,592,No Country Code (592)
I94CNTYL,601,FRENCH GUIANA
I94CNTYL,602,SURINAME
I94CNTYL,603,GUYANA
I94CNTYL,604,FALKLAND ISLANDS
I94CNTYL,687,ARGENTINA
I94CNTYL,688,BOLIVIA
I94CNTYL,689,BRAZIL
I94CNTYL,690,CHILE
I94CNTYL,691,COLOMBIA
I94CNTYL,692,ECUADOR
I94CNTYL,693,PARAGUAY
I94CNTYL,694,PERU
I94CNTYL,695,URUGUAY
I94CNTYL,696,VENEZUELA
I94CNTYL,700,INVALID: BORN ON BOARD SHIP
I94CNTYL,705,INVALID: STATELESS
I94CNTYL,710,INVALID: NON-QUOTA IMMIGRANT
I94CNTYL,712,INVALID: ANTARCTICA
I94CNTYL,716,SAINT BARTHELEMY
I94CNTYL,717,"BONAIRE, ST EUSTATIUS, SABA"
I94CNTYL,719,INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.)
I94CNTYL,720,INVALID: CANTON AND ENDERBURY ISLS
I94CNTYL,721,CURACAO
I94CNTYL,723,FAROE ISLANDS (PART OF DENMARK)
I94CNTYL,726,HEARD AND MCDONALD IS.
I94CNTYL,729,INDIAN OCEAN TERRITORY
I94CNTYL,730,INVALID: INTERNATIONAL WATERS
I94CNTYL,731,INVALID: JOHNSON ISLAND
I94CNTYL,732,KOSOVO
I94CNTYL,735,MONTENEGRO
I94CNTYL,736,SAINT MARTIN
I94CNTYL,737,INVALID: MIDWAY ISLANDS
I94CNTYL,739,INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)
I94CNTYL,740,INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)
I94CNTYL,741,Collapsed Curacao (should not show)
I94CNTYL,743,PALESTINE
I94CNTYL,745,SERBIA
I94CNTYL,748,REPUBLIC OF SOUTH SUDAN
I94CNTYL,749,SAINT MAARTEN
I94CNTYL,753,INVALID: MINOR OUTLYING ISLANDS - USA
I94CNTYL,755,INVALID: WAKE ISLAND
I94CNTYL,757,WEST INDIES (FRENCH)
I94CNTYL,758,GAZA STRIP
I94CNTYL,759,INDIAN OCEAN AREAS (FRENCH)
I94CNTYL,760,MAYOTTE (AFRICA - FRENCH)
I94CNTYL,791,No Country Code (791)
I94CNTYL,849,No Country Code (849)
I94CNTYL,914,No Country Code (914)
I94CNTYL,944,No Country Code (944)
I94CNTYL,996,No Country Code (996)
I94CNTYL,999,INVALID: UNKNOWN
I94MODEL,1,Air
I94MODEL,2,Sea
I94MODEL,3,Land
I94MODEL,9,Not reported
I94VISA,1,Business
I94VISA,2,Pleasure
I94VISA,3,Student
I94ADDRL,99,All Other Codes
I94ADDRL,AK,ALASKA
I94ADDRL,AL,ALABAMA
I94ADDRL,AR,ARKANSAS
I94ADDRL,AZ,ARIZONA
I94ADDRL,CA,CALIFORNIA
I94ADDRL,CO,COLORADO
I94ADDRL,CT,CONNECTICUT
I94ADDRL,DC,DIST. OF COLUMBIA
I94ADDRL,DE,DELAWARE
I94ADDRL,FL,FLORIDA
I94ADDRL,GA,GEORGIA
I94ADDRL,GU,GUAM
I94ADDRL,HI,HAWAII
I94ADDRL,IA,IOWA
I94ADDRL,ID,IDAHO
I94ADDRL,IL,ILLINOIS
I94ADDRL,IN,INDIANA
I94ADDRL,KS,KANSAS
I94ADDRL,KY,KENTUCKY
I94ADDRL,LA,LOUISIANA
I94ADDRL,MA,MASSACHUSETTS
I94ADDRL,MD,MARYLAND
I94ADDRL,ME,MAINE
I94ADDRL,MI,MICHIGAN
I94ADDRL,MN,MINNESOTA
I94ADDRL,MO,MISSOURI
I94ADDRL,MS,MISSISSIPPI
I94ADDRL,MT,MONTANA
I94ADDRL,NC,N. CAROLINA
I94ADDRL,ND,N. DAKOTA
I94ADDRL,NE,NEBRASKA
